Aaaba fossicollis
Aagaardia protensa
Aagaardia sivertseni
Aaroniella badonneli
Abablemma bilineata
Abablemma brimleyana
Abablemma duomaculata
Abablemma grandimacula
Abablemma ulopus
Abacaria caledona
Abacaria moselyi
Abacaria ruﬁceps
Abacena accincta
Abacena discalis
Abacetus salzmanni
Abachrysa eureka
Abaciscus adjuncta
Abaciscus alishanensis
Abaciscus atmata
Abaciscus costimacula
Abaciscus ﬁglinus
Abaciscus intractabilis
Abaciscus shaneae
Abaciscus tristis
Abaeis nicippe
Abaeis nicippiformis
Abagrotis alampeta
Abagrotis alcandola
Abagrotis alternata
Abagrotis anchocelioides
Abagrotis apposita
Abagrotis baueri
Abagrotis belfragei
Abagrotis benyamini
Abagrotis bimarginalis
Abagrotis brunneipennis
Abagrotis cryptica
Abagrotis cupida
Abagrotis denticulata
Abagrotis dickeli
Abagrotis discoidalis
Abagrotis dodi
Abagrotis duanca
Abagrotis erratica
Abagrotis forbesi
Abagrotis glenni
Abagrotis hennei
Abagrotis hermina
Abagrotis kirkwoodi
Abagrotis magnicupida
Abagrotis mexicana
Abagrotis mirabilis
Abagrotis nanalis
Abagrotis nefascia
Abagrotis orbis
Abagrotis petalama
Abagrotis placida
Abagrotis pulchrata
Abagrotis rubricundis
Abagrotis scopeops
Abagrotis striata
Abagrotis trigona
Abagrotis turbulenta
Abagrotis variata
Abagrotis vittifrons
Abana gigas
Abananote erinome
Abananote radiata
Abantiades albofasciatus
Abantiades aphenges
Abantiades aurilegulus
Abantiades barcas
Abantiades fulvomarginatus
Abantiades hyalinatus
Abantiades hydrographus
Abantiades labyrinthicus
Abantiades latipennis
Abantiades leucochiton
Abantiades magniﬁcus
Abantiades marcidus
Abantiades ocellatus
Abantiades sericatus
Abantis eltringhami
Abantis paradisea
Abanycha pectoralis
Abanycha sericipennis
Abaria margaritifera
Abaris splendidula
Abax beckenhauptii
Abax carinatus
Abax ovalis
Abax parallelepipedus
Abax parallelus
Abdera afﬁnis
Abdera ﬂexuosa
Abdera quadrifasciata
Abdera triguttata
Abegesta concha
Abegesta reluctalis
Abegesta remellalis
Abelater pulchelus
Abelater satoi
Abgrallaspis cyanophylli
Abgrallaspis degeneratus
Abia aenea
Abia americana
Abia aurulenta
Abia candens
Abia fasciata
Abia fulgens
Abia inﬂata
Abia jakowlewi
Abia lonicerae
Abia mutica
Abia nitens
Abia sericea
Abidama producta
Abisara dewitzi
Abisara echerius
Abisara fylla
Abisara fylloides
Abisara kausambi
Abisara neophron
Abisara rutherfordii
Abisara saturata
Abisara savitri
Abisares viridipennis
Abiskomyia paravirgo
Abispa ephippium
Ablaberoides abyssinicus
Ablabesmyia annulata
Ablabesmyia aspera
Ablabesmyia illinoensis
Ablabesmyia jogancornua
Ablabesmyia longistyla
Ablabesmyia monilis
Ablabesmyia nilotica
Ablabesmyia notabilis
Ablabesmyia phatta
Ablabesmyia prorasha
Ablaptus brevirostrum
Ablautus colei
Ablaxia anaxenor
Ablerus perspeciosus
Aboetheta pteridonoma
Abolla pellicosta
Abomalus masoni
Aborolabis nepalensis
Aborolabis pervicina
Abrachyglossum capitatum
Abraeus globosus
Abraeus parvulus
Abraeus perpusillus
Abraxaphantes perampla
Abraxas adilluminata
Abraxas aequimargo
Abraxas aesiopsis
Abraxas amicula
Abraxas asemographa
Abraxas ateles
Abraxas auchmodes
Abraxas celidota
Abraxas conialeuca
Abraxas consputa
Abraxas cos
Abraxas cupreilluminata
Abraxas elaiodes
Abraxas epipercna
Abraxas expectata
Abraxas faceta
Abraxas ﬂavimacula
Abraxas ﬂavisinuata
Abraxas ﬂetcheri
Abraxas gephyra
Abraxas grossulariata
Abraxas harutai
Abraxas hemerophiloides
Abraxas illuminata
Abraxas incolorata
Abraxas intervacuata
Abraxas invasata
Abraxas irrorata
Abraxas karafutonis
Abraxas latifasciata
Abraxas leopardina
Abraxas leucaphrodes
Abraxas leucoloepa
Abraxas leucostola
Abraxas lugubris
Abraxas luteolaria
Abraxas maculicincta
Abraxas major
Abraxas martaria
Abraxas metamorpha
Abraxas miranda
Abraxas nebularia
Abraxas neomartaria
Abraxas neopalensis
Abraxas nepalilluminata
Abraxas nephodes
Abraxas pantaria
Abraxas parvipunctata
Abraxas pauxilla
Abraxas perchaotica
Abraxas peregrina
Abraxas permutans
Abraxas picaria
Abraxas placata
Abraxas poliaria
Abraxas polysticta
Abraxas praepiperata
Abraxas propsara
Abraxas punctifera
Abraxas pusilla
Abraxas rhusiocirra
Abraxas satoi
Abraxas semilivens
Abraxas semiusta
Abraxas sinopicaria
Abraxas sporocrossa
Abraxas subﬂava
Abraxas subhyalinata
Abraxas sublepida
Abraxas submartiaria
Abraxas superpicaria
Abraxas sylvata
Abraxas syngenica
Abraxas taiwanensis
Abraxas tenellula
Abraxas tenuisuffusa
Abraxas trigonomorpha
Abraxas triseriaria
Abraxas triseriata
Abraxas virginalis
Abraximorpha davidii
Abrenthia cuprea
Abriesa derna
Abrochia angusta
Abrochia moza
Abrochocis esperanza
Abromias monoglypha
Abromias platinea
Abromias syriaca
Abromias zeta
Abroquia aequalis
Abrostola agnorista
Abrostola asclepiadis
Abrostola bettoni
Abrostola microvalis
Abrostola ovalis
Abrostola parvula
Abrostola proxima
Abrostola tripartita
Abrostola triplasia
Abrostola ugartii
Abrostola urentis
Abrostola violacea
Abrota ganga
Abrotesia griphodes
Absala dorcada
Abscondita anceyi
Abscondita cerata
Abstrusomyzus phloxae
Absyrtus vernalis
Absyrtus vicinus
Abtrichia antennata
Abtrichia squamosa
Acacacis atomarius
Acacacis granulicollis
Acachmena xylonota
Acacicis minor
Acada biseriatus
Acaenitellus lissus
Acalles aeonii
Acalles aeonisimilis
Acalles alcarazensis
Acalles alluaudi
Acalles almeriaensis
Acalles argillosus
Acalles asniensis
Acalles aubei
Acalles biokovoensis
Acalles breiti
Acalles camelus
Acalles carinatus
Acalles cazorlaensis
Acalles commutatus
Acalles cytisi
Acalles dieckmanni
Acalles dispar
Acalles dubius
Acalles echinatus
Acalles edoughensis
Acalles fallax
Acalles gadorensis
Acalles grancanariensis
Acalles guadarramaensis
Acalles hypocrita
Acalles iblanensis
Acalles kippenbergi
Acalles lemur
Acalles longipilis
Acalles machadoi
Acalles maraoensis
Acalles micros
Acalles minutissimus
Acalles misellus
Acalles monasterialis
Acalles muelleri
Acalles papei
Acalles parasierrae
Acalles parvulus
Acalles pilula
Acalles portosantoensis
Acalles ptinoides
Acalles pulverosus
Acalles pyrenaeus
Acalles roboris
Acalles sablensis
Acalles sardiniaensis
Acalles sarothamni
Acalles saxicola
Acalles sierrae
Acalles silosensis
Acalles sintraniensis
Acalles sonchi
Acalles sylvosus
Acalles temperei
Acalles terminalis
Acalles testensis
Acalles tibialis
Acallis alticolalis
Acallis centralis
Acallis gripalis
